Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
cpd:C00197,bsu,metabolite,Biosynthesis of amino acids,0.002380952380952381,0.0025979809292232064,0.0563078160611342,0.0009151233625122126
rn:R01512,bsu,reaction,Biosynthesis of amino acids,0.0015873015873015873,0.0015357606223909428,0.055594775855983054,0.003415550399219979
cpd:C00236,bsu,metabolite,Biosynthesis of amino acids,0.0015873015873015873,0.0026132958877538295,0.058233581365253966,0.015128531063799947
rn:R01061,bsu,reaction,Biosynthesis of amino acids,0.0015873015873015873,0.004153968437066056,0.0617525975298961,0.06764700856189293
cpd:C00118,bsu,metabolite,Biosynthesis of amino acids,0.005555555555555556,0.07335970236800075,0.0657311283843706,0.3026259443333459
rn:R01015,bsu,reaction,Biosynthesis of amino acids,0.0015873015873015873,0.004107497833406317,0.06182531894013739,0.08555428114659348
cpd:C00111,bsu,metabolite,Biosynthesis of amino acids,0.004761904761904762,0.028085782568157188,0.06164081992074752,0.09924348225039265
rn:R01068,bsu,reaction,Biosynthesis of amino acids,0.003968253968253968,0.043634915823804396,0.06422018348623854,0.17831987388069293
cpd:C00354,bsu,metabolite,Biosynthesis of amino acids,0.0031746031746031746,0.0024921804956273552,0.06098446348192246,0.09078160010521172
 cpd:C00118,bsu,metabolite,Biosynthesis of secondary metabolites,0.003968253968253968,0.19910801749050805,0.0681191544574796,0.27018506555361843
rn:R00764,bsu,reaction,Biosynthesis of secondary metabolites,0.0015873015873015873,0.0005394390622184499,0.05939473932308852,0.08270210061459975
cpd:C00085,bsu,metabolite,Biosynthesis of cofactors,0.00873015873015873,0.15919526819152985,0.06288366521934421,0.29769418788755303
rn:R13199,bsu,reaction,Biosynthesis of nucleotide sugars,0.002380952380952381,0.050961694681252244,0.059512563763461174,0.07123790745018653
cpd:C00668,bsu,metabolite,Biosynthesis of nucleotide sugars,0.0031746031746031746,0.040823414361596186,0.05644402634054563,0.018953957037495504
rn:R00959,bsu,reaction,Biosynthesis of nucleotide sugars,0.0015873015873015873,0.03238216348574215,0.05366726296958855,0.004610068007027904
cpd:C00103,bsu,metabolite,Biosynthesis of cofactors,0.006349206349206349,0.0641725047532768,0.051163357290778415,0.002701197022523447
rn:R01786,bsu,reaction,Biosynthesis of nucleotide sugars,0.0031746031746031746,0.006385995101290481,0.0535031847133758,0.008723114948563327
cpd:C00267,bsu,metabolite,Biosynthesis of nucleotide sugars,0.002380952380952381,0.0033639750153686182,0.051014211101664035,0.0021871354298378196
rn:R02739,bsu,reaction,Microbial metabolism in diverse environments,0.0015873015873015873,0.0020092353211208173,0.05348955680081508,0.00446185295291949
